"","V1","V2","V3","V4","V5"
"1",0.187145970084043,0.605433857881692,0.181564549921195,0.23379937958959,0.212340078859066
"2",0.543003197704249,0.31771515948852,0.67955305723322,0.16515541524442,0.70246983571015
"3",0.905411304424117,0.942214931132979,0.848074200525842,0.569850786157787,0.995735965608785
"4",0.571039153463902,0.496237751369396,0.265341441292324,0.559788478926792,0.387224149756562
"5",0.49199307519994,0.604439988536358,0.392720400737457,0.230965069815948,0.471923073388109
"6",0.186196697522522,0.171072598626642,0.245769401638368,0.855942691655869,0.17531331035371
"7",0.951781768247885,0.669813670906512,0.924167690137506,0.322263894263392,0.926341494860779
"8",0.881564763308221,0.969009705622219,0.576657813591538,0.797209249396038,0.170623936453807
"9",0.595526310319178,0.830696243030844,0.863090372746251,0.82543804441067,0.806237340128518
"10",0.682335242982899,0.507252982345378,0.341907914334495,0.912318220053769,0.756586094803149
"11",0.71223763840248,0.303504818739794,0.0664078985671826,0.589040806785722,0.147184358266237
"12",0.64883517849392,0.389863452297505,0.569243455356243,0.495960181327293,0.581274092824965
"13",0.955050735138025,0.958336925277084,0.990193705609046,0.483295146762715,0.203066847635549
"14",0.511062164039731,0.567788299233158,0.549326212273663,0.772984378166466,0.908545013320826
"15",0.78112744791506,0.995173556080562,0.99201200217848,0.242207077363727,0.718613104293848
"16",0.510493356919825,0.457483440468312,0.393119480683174,0.860036247627713,0.496761853106786
"17",0.809078435220181,0.61723582045902,0.452035567080689,0.394228052490563,0.101355297924653
"18",0.462860338927908,0.643914739439382,0.313702288258682,0.866965098996137,0.946087059681061
"19",0.361090098804154,0.579603623818867,0.71599716689674,0.384685143614515,0.519907839833302
"20",0.0283797256796443,0.0688387429694689,0.108338296278785,0.203073146653239,0.518197582571654
"21",0.968838196205044,0.85990636375607,0.919063830801004,0.694330417242352,0.482127412351664
"22",0.219022783928335,0.392531979694801,0.419401628539251,0.708972598193087,0.379848266974679
"23",0.664604488698322,0.135892604142567,0.387655705393632,0.982658001520027,0.780863496738521
"24",0.817340338258287,0.959463226152184,0.395011584865568,0.356604926475761,0.33943822435198
"25",0.534982215804557,0.65646529191683,0.719688768721257,0.93949885187877,0.486188856432045
"26",0.330617216948366,0.573562929993538,0.85135663621996,0.981445315343274,0.954966606564942
"27",0.576257838252872,0.577911092718894,0.446300901772677,0.70099305771107,0.855420583321153
"28",0.196249285063925,0.554377106993879,0.253004358815789,0.385597057858377,0.600740188957331
"29",0.818432685665523,0.728618557384191,0.633873319198211,0.823209697461068,0.559278654550522
"30",0.432714174939145,0.145404306117305,0.0596999009362952,0.453797045836692,0.17704069699591
"31",0.891299029295591,0.85790425179223,0.924081003287493,0.368188760856091,0.439216292605523
"32",0.879892560850273,0.235734708121485,0.292078078326476,0.76322956260007,0.897810090493975
